UID          PID    PPID  C STIME TTY          TIME CMD
dbus         930     929  0 May27 ?        00:26:42 dbus-broker --log 4 --controller 9 --machine-id 003a69a1bdb8437d8234c28dd8a25cda --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
root         934       1  0 May27 ?        01:09:34 /usr/bin/python3 -s /usr/sbin/firewalld --nofork --nopid
root         935       1  0 May27 ?        00:15:19 /usr/sbin/irqbalance --foreground
root         936       1  0 May27 ?        00:09:30 /usr/lib/systemd/systemd-logind
chrony       940       1  0 May27 ?        00:00:16 /usr/sbin/chronyd -F 2
root         943       1  0 May27 ?        00:07:32 /usr/sbin/NetworkManager --no-daemon
memcach+     971       1  1 May27 ?        06:13:41 /usr/bin/memcached -p 11211 -u memcached -m 6400 -c 1024 -l 0.0.0.0
venserv+     975       1  0 May27 ?        00:19:52 /opt/mezaam/mezaam-gateway
root         978       1  0 May27 ?        00:19:10 /usr/bin/python3 /var/www/mezaam-waitlist/waitlist_server.py
root         980       1  0 May27 ?        00:00:14 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root         984       1  2 May27 ?        11:26:30 /usr/bin/containerd
root         985       1  4 May27 ?        17:06:31 /usr/bin/python3 -s /usr/bin/fail2ban-server -xf start
root         997       1  0 May27 ?        00:01:45 /usr/sbin/crond -n
mysql       1158       1 38 May27 ?        6-04:48:48 /usr/sbin/mariadbd
root        1288       1 16 May27 ?        2-15:14:24 /usr/local/bin/controlone-agent --config /etc/control-one/nodeagent.yaml
root        1294       1  5 May27 ?        22:32:11 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
minio-u+    1296       1  0 May27 ?        02:52:02 /usr/local/bin/minio server -C /etc/minio --address :9000 --console-address :9001 /mnt/data
root        1300       1  0 May27 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
redis       1303       1 18 May27 ?        2-22:35:59 /usr/bin/redis-server *:6379
root        1306       1  0 May27 ?        00:39:04 /usr/sbin/rsyslogd -n
root        1424       1  0 May27 ?        00:00:14 nginx: master process /usr/sbin/nginx
root        2008    3943  0 Jun03 ?        00:00:11 [celery] <defunct>
root        2615    1294  0 May27 ?        00:05:22 /usr/bin/docker-proxy -proto tcp -host-ip 127.0.0.1 -host-port 3000 -container-ip 172.17.0.2 -container-port 3000
root        2627    1294  0 May27 ?        00:02:52 /usr/bin/docker-proxy -proto tcp -host-ip 127.0.0.1 -host-port 9011 -container-ip 172.19.0.2 -container-port 3002
root        2638    1294  0 May27 ?        00:03:14 /usr/bin/docker-proxy -proto tcp -host-ip 127.0.0.1 -host-port 3001 -container-ip 172.20.0.2 -container-port 3000
root        2645    1294  0 May27 ?        00:15:33 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 9085 -container-ip 172.18.0.2 -container-port 9080
root        2692    1294  0 May27 ?        00:15:42 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 9084 -container-ip 172.18.0.3 -container-port 9080
root        2703    1294  0 May27 ?        00:00:13 /usr/bin/docker-proxy -proto tcp -host-ip 127.0.0.1 -host-port 9030 -container-ip 172.17.0.3 -container-port 8880
root        2746       1  0 May27 ?        01:33:20 /usr/bin/containerd-shim-runc-v2 -namespace moby -id eea3881dc746a6930fcd41a092281e1e2c97b8d2c9408bbef854ce6800fac8ca -address /run/containerd/containerd.sock
root        2747       1  0 May27 ?        01:14:04 /usr/bin/containerd-shim-runc-v2 -namespace moby -id df82c78e299672a1ac082ee9bd45b0b60faf7422ade528fa4cfbcd841a9c166f -address /run/containerd/containerd.sock
root        2823       1  0 May27 ?        00:27:43 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 82e07035fc4472309dc8f15ecf4d1baa461a57200baa601ad8b3abdc3caff70b -address /run/containerd/containerd.sock
root        2850    1294  0 May27 ?        00:00:16 /usr/bin/docker-proxy -proto tcp -host-ip 127.0.0.1 -host-port 9010 -container-ip 172.19.0.4 -container-port 8001
root        2879    1294  0 May27 ?        00:20:02 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 9082 -container-ip 172.18.0.4 -container-port 9080
root        2904    1294  0 May27 ?        00:00:15 /usr/bin/docker-proxy -proto tcp -host-ip 127.0.0.1 -host-port 9100 -container-ip 172.17.0.4 -container-port 9000
root        2912    1294  0 May27 ?        00:00:15 /usr/bin/docker-proxy -proto tcp -host-ip 127.0.0.1 -host-port 9101 -container-ip 172.17.0.4 -container-port 9001
venserv+    2968    2747  0 May27 ?        00:03:54 /home/openfang/.openfang/bin/openfang start
root        2969    2746  0 May27 ?        00:31:09 /sbin/docker-init -- sh -c python server.py & python scrapling_server.py & python pdf_server.py & python playwright_server.py
root        2987    2823  0 May27 ?        00:05:22 node server.js
root        3011       1  0 May27 ?        00:31:57 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 2c3d9570080862af6faf7024a3496fa07be277c4f37b301cdc4500f679c89d6f -address /run/containerd/containerd.sock
root        3032       1  0 May27 ?        00:27:54 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 22a3aaebef19d1ff534b106596c6ee77334334d129c8a89dfb49fa3fe4e3cc84 -address /run/containerd/containerd.sock
root        3038    1294  0 May27 ?        00:04:27 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 11333 -container-ip 172.18.0.5 -container-port 11333
root        3067    1294  0 May27 ?        00:00:16 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 11334 -container-ip 172.18.0.5 -container-port 11334
root        3088    1294  0 May27 ?        00:00:13 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 11335 -container-ip 172.18.0.5 -container-port 11335
root        3114       1  0 May27 ?        00:27:32 /usr/bin/containerd-shim-runc-v2 -namespace moby -id a24e78a21e03fdf5d4e08bb6e6c33f81f72d1360c6b22140f203dae958cd827a -address /run/containerd/containerd.sock
root        3120    3011  0 May27 ?        00:41:26 /usr/bin/python3 /usr/bin/supervisord -c /etc/supervisor/conf.d/supervisord.conf
root        3157    3032  0 May27 ?        00:06:12 next-server (v
root        3168       1  1 May27 ?        07:22:06 /usr/bin/containerd-shim-runc-v2 -namespace moby -id e86306ca4ba2be6fcefac14f769180878814218c513e7242ff4613adc6b70162 -address /run/containerd/containerd.sock
root        3195       1  0 May27 ?        00:27:13 /usr/bin/containerd-shim-runc-v2 -namespace moby -id ed3d41afb80f5abf5c1981858bf542e58fa249e17e0fcc205002fca7f91f8bcc -address /run/containerd/containerd.sock
root        3200    2969  0 May27 ?        00:00:00 sh -c python server.py & python scrapling_server.py & python pdf_server.py & python playwright_server.py
root        3286    1294  0 May27 ?        00:11:33 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 5672 -container-ip 172.18.0.7 -container-port 5672
root        3287       1  1 May27 ?        04:14:10 /usr/bin/containerd-shim-runc-v2 -namespace moby -id c42a3636514790f03bac464140710c22d5154c038f3d472db9286fded3aec7fd -address /run/containerd/containerd.sock
root        3299    3200  0 May27 ?        02:47:45 python server.py
root        3300    3200  1 May27 ?        04:32:00 python scrapling_server.py
root        3302       1  0 May27 ?        00:27:17 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 8283170c832034260e348e2051004dc1c67a443accfc7d157a86ddc9b0eadc73 -address /run/containerd/containerd.sock
root        3305    3200  0 May27 ?        02:38:56 python pdf_server.py
root        3314    3200  0 May27 ?        02:37:33 python playwright_server.py
root        3326       1  0 May27 ?        00:33:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 1d3a07b4ad4465e827d3bae85302b308a55c774311d16d740e3653e53264d5c7 -address /run/containerd/containerd.sock
root        3334    3168  0 May27 ?        00:00:00 /bin/bash /opt/postal/app/bin/postal smtp-server
root        3389    3195  0 May27 ?        00:20:24 node socket.js
